obsid,uid,ra,dec,snrg,gaia_source_id,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,M_G,d,R,Z,Teff,logg,[Fe/H],source
392014070,G16200704656806,102.64278,12.157878,72.86,3351665419785517696,0.1772248603298972,5.6033688,15.027211,0.41829872,1.269834213793537,5.642549234563022,6.753871018134903,-4.628116180192959,9146.9,3.630538,-0.90947,Candidates
392014167,L16201590571311,102.63579,12.293668,122.96,3351671913773590784,0.2421314385606471,7.995312,14.261404,0.49430656,1.1816599114170965,4.129988265648239,6.671772452189529,-3.2530722928881914,8028.3,3.791393,-0.706343,Candidates
392016014,G16201245070485,102.37345,13.330059,119.07,3352570077337507584,0.1848701550313555,9.288452,13.965615,0.35343647,0.2999490270945451,5.409201933272527,4.229458704221713,-3.365424626929922,10322.2,3.721257,-0.586533,Vickers et al. (2021)
392016108,G16204700793334,103.69167,13.491069,120.29,3353280907308160128,0.2398852672627772,9.787787,14.327451,0.23427582,1.2274688812948646,4.168659507149187,4.741916219128196,2.1724658013471547,9511.0,3.857197,-0.517171,Candidates
392016183,G16201338887032,102.79983,13.41405,119.64,3354059017940002304,0.1711078302728452,5.7086,14.079874,0.23421478,0.2462234213605789,5.84426790057135,2.7267989727243003,-1.5186870021627727,9976.6,3.522307,-0.565357,Vickers et al. (2021)
392209133,G17385690078644,21.8211142,42.3330778,96.73,396391607016429184,0.6779594436258509,16.722128,11.4422865,-0.02970314,0.598305073049799,1.475014485603766,8.42490823134733,-1.3739646065411302,11089.3,3.801024,-0.406959,New
392211060,G17382367747339,20.486865,43.927042,47.91,397478852218151936,0.6369525231669866,34.796066,13.703584,0.4349308,2.724119311637363,1.569975726021004,9.717364857386071,0.385395431859358,7181.8,3.900363,-0.72849,Candidates
392216243,G17381954776957,18.490964,43.87742,45.9,373682809252568192,0.2010024553869535,10.586032,13.839075,0.15986252,0.3550818133335802,4.975063603451419,9.515488289418712,0.212572972960827,8743.2,3.254694,-1.531011,Vickers et al. (2021)
392401008,G15487118105058,166.2248665,26.6178047,21.08,3996859839392850048,0.0692342617152453,0.84726393,17.12564,0.31007004,,,,,7412.1,2.911258,-1.684459,Vickers et al. (2021)
392401216,G15487140169528,165.6678366,26.5365285,30.22,3996887494687133184,0.0754828470912879,0.99126077,16.80285,0.008119583,,,,,8275.0,2.904763,-2.582707,New
392416146,G15490826797887,164.7668946,30.9373404,35.99,733498088223981696,0.0866182017139733,1.149879,17.163328,0.11531258,,,,,8237.5,3.228582,-1.968204,Xue et al. (2011)&Vickers et al. (2021)
392501094,G13619559399930,350.857112,54.133234,28.74,1995873780655443840,0.6659113838724701,51.76281,11.714786,0.5374689,0.8318681964835761,1.5017013137464428,9.62377886410675,-0.3856675663455922,10895.4,4.294091,0.173105,Candidates
392501106,G13611943455936,351.563341,54.221936,296.93,1995829009918175488,1.2917504841103706,46.793533,10.442301,0.124103546,0.998194164893116,0.7741433135120523,8.80434864391489,-0.2381105284122866,9996.1,3.003589,-0.533855,Vickers et al. (2021)
392501147,G13612088269572,351.376919,54.479042,86.82,1995897415852400000,0.4257912930648883,31.475271,11.943817,0.25160027,0.0898008818885109,2.3485684566302427,10.207327397628507,-0.0801571090014355,10215.5,3.462122,-0.431593,Vickers et al. (2021)
392501211,G13619568317220,350.777867,53.834376,228.18,1995817018365692672,1.4893476877690563,91.001205,10.688236,0.24443054,1.5532164775212325,0.6714348893896853,8.779639663586927,-0.336837173104583,11307.4,4.212291,-1.112073,New
392501217,G13619568729137,350.886725,53.833649,78.87,1995816537329367168,0.5313849253021997,47.509796,12.436792,0.4127245,1.0638381494027875,1.881874988138397,9.795682013482503,-0.9801047887553732,10234.4,3.708517,-0.429391,Vickers et al. (2021)
392502027,G13663425578485,348.733762,54.631784,95.8,1996802386943974144,0.9556278305064856,63.64455,11.322862,0.43912697,1.2243059455492862,1.0464324793366442,8.817727675783186,0.625477720097441,9322.0,3.415596,-0.330273,Vickers et al. (2021)
392502187,G13670919044583,348.627642,54.866826,91.15,1996858565117279872,0.6823634097608966,36.47273,10.861538,0.37254143,0.0316166534806185,1.4654947579185185,8.905592791216804,1.131202493438361,10120.1,3.202297,-0.363662,New
392503072,G13669348279024,349.23566,56.2777206,66.05,1997193847444920064,0.4695756945369448,38.145363,13.080772,0.6224346,1.4393000476536564,2.1295821134569457,7.1805010337984445,1.867299974388452,9129.5,3.898257,-0.595616,Candidates
392503090,G13669607631785,349.2983875,55.9489789,66.11,1997170998219067392,0.3932636041818923,30.65574,13.202778,0.43636036,1.176196775598477,2.542823666787837,7.739730163447438,2.500820542889577,9414.0,3.806103,-0.501646,Vickers et al. (2021)
392503106,G13671309491741,348.81734917,56.40929722,234.98,2009196666120906112,1.0545091136929907,3.4277563,10.790657,0.36179256,,,,,9408.9,4.073712,-0.384684,Candidates
392503152,G13669338922233,349.239774,56.096461,257.81,1997188246807639168,0.5454721374053151,34.107918,11.092862,0.3842821,-0.2232751408700863,1.833274206739081,7.603608167737037,1.7334927074037156,9894.1,3.226556,-0.481656,Vickers et al. (2021)
392504029,L13669415800328,351.086875,56.519397,70.82,1997259611982642432,1.0637189749324785,69.39881,11.49881,0.49532318,1.6329445319162446,0.9400979239497697,8.060295454218574,0.8745560675375376,10896.6,4.118967,-0.582078,Candidates
392504059,G13670224686715,352.073329,56.427912,156.1,1998548273973457920,1.2864560923196355,55.12673,10.639733,0.26107216,1.1867078400668092,0.7773292893322766,8.204905375132265,0.7724104957885095,11178.0,3.972024,-0.50574,New
392504083,G13669766089014,351.221061,55.707327,264.6,1996953810305935872,0.5179099614280714,31.22063,11.282076,0.33863163,-0.1466526786270954,1.9308375479834876,8.684897520169592,1.766490613210493,10522.3,3.559795,-0.625695,Vickers et al. (2021)
392504164,G13669776220443,350.599967,56.184834,102.96,1997213295054875136,0.5730455353754498,30.03218,12.967602,0.4153328,1.758547666351408,1.7450620208476395,8.0135350357452,1.7253013208339625,11349.2,4.234418,-0.38963,New
392504175,L13669790721974,351.027778,55.978698,136.33,1997011328514288000,0.5175985979065413,23.772734,11.698085,0.41388512,0.268050456132844,1.9319990510881604,8.345809705246872,1.9172603101947447,9703.3,3.371542,-0.391921,Vickers et al. (2021)
392504190,L13669656412960,350.407397,55.912324,63.14,1997018372260187136,0.435088168294142,37.37809,13.404452,0.60657406,1.597338366653975,2.2983847249184413,8.333918997253479,2.292890811968465,10577.0,3.989598,-0.362123,New
392504210,L13670748926501,351.740484,56.667777,156.71,1997255076497517696,0.9219740208295004,81.24575,12.04099,0.5151825,1.8645834188833843,1.0846292600525766,8.191149490827643,0.9996677715977936,10205.8,3.735989,-0.456374,Candidates
392505032,L13668984229568,350.455295,55.013819,223.81,1996169205686639232,0.5012041612280241,27.163458,10.686106,0.34331322,-0.8138206597495046,1.995194927252504,9.735024989581497,1.2037893608461996,10821.2,3.143078,-0.40083,Vickers et al. (2021)
392505039,G13668846540505,350.792876,55.092188,60.48,1996170786234632448,0.5160157788619786,23.376709,12.924875,0.20788097,1.4881899089879518,1.937925235940266,9.575851431765432,1.1820926407712105,10918.8,3.933884,-0.644382,Vickers et al. (2021)
392505073,G13668995922613,350.11333444,55.32932611,336.34,1996850456221082752,1.312713200511225,49.81856,10.4282255,0.15783691,1.0190747624324177,0.7617810193502728,8.595562141252412,0.645538874293924,10564.0,3.744122,-0.326835,New
392505079,G13668968523054,350.661106,54.853827,174.04,1996151922738971520,0.8717919973425753,31.91871,11.815053,0.27402973,1.5171173903622606,1.1470626055850852,9.17433378019362,0.5062479979488602,10239.7,3.987589,-0.39201,Candidates
392505095,G13611873311186,350.6323203,54.6592264,128.3,1996099008739321088,0.8191037150370675,60.07827,12.272941,0.25014496,1.839635478377799,1.2208466176407786,9.33725172169716,0.3368970902671183,8723.2,2.87173,0.158409,Candidates
392505097,G13611871932023,350.459508,54.648609,233.69,1996008917508760832,2.468607947669969,11.5038185,10.547531,0.27937984,2.5097916143351213,0.4050865998968626,8.58137011075583,0.1210966630480532,8704.2,3.572821,-0.386404,Candidates
392505115,G13668815394115,351.621092,55.162343,75.08,1996140274786262528,0.7011816056511373,48.397602,12.678542,0.30584717,1.907694572840448,1.4261640521379213,8.933366472715145,0.7647846071233168,9965.8,3.914929,-0.40301,Candidates
392505121,G13669683884186,351.5027408,55.3533608,96.27,1996191707016163328,0.276527442372597,13.7880745,12.9695,0.27114296,0.1781911841637935,3.616277615776686,9.90292456082292,2.513676623140215,10563.4,3.707897,-0.447907,New
392505143,G13668839314756,351.235442,54.964251,104.88,1996113091932754304,0.4403888158572805,31.920061,12.214001,0.2622881,0.433182405345704,2.2707206995103983,9.853851305335612,0.9896394534602846,10358.6,3.118958,-0.652982,New
392505174,G13668817980782,350.6764347,55.4838117,95.83,1996944533180917760,0.4392145839871856,33.728123,12.667377,0.42392826,0.8807607614907198,2.2767914282854864,9.179156913754394,1.9716588800454575,8838.8,3.264594,-0.187188,New
